ano;cod_distr;distritos;populacao;homens;mulheres;razao_sexo;id_media;dens_demog
2000;80001;Água Rasa;85992;40038;45954;114,8;36,6;12.052,30
2000;80002;Alto de Pinheiros;44513;19902;24611;123,7;38;5.937,90
2000;80003;Anhanguera;38037;18967;19070;100,5;25,5;1.137,80
2000;80004;Aricanduva;94845;45335;49510;109,2;32;13.851,70
2000;80005;Artur Alvim;111294;52646;58648;111,4;31,9;17.081,30
2000;80006;Barra Funda;12992;5735;7257;126,5;37,2;2.207,80
2000;80007;Bela Vista;63276;28419;34857;122,7;36,7;22.919,80
2000;80008;Belém;39712;18115;21597;119,2;36,5;6.487,20
2000;80009;Bom Retiro;26678;12676;14002;110,5;34,2;6.256,10
2000;80010;Brás;25230;12366;12864;104;32,3;6.935,20
2000;80011;Brasilândia;246906;119523;127383;106,6;27,1;11.736,70
2000;80012;Butantã;52705;24478;28227;115,3;36,4;4.089,70
2000;80013;Cachoeirinha;147458;71112;76346;107,4;28,2;10.876,40
2000;80014;Cambuci;28790;13078;15712;120,1;37;7.320,70
2000;80015;Campo Belo;66756;30597;36159;118,2;36,6;7.549,20
2000;80016;Campo Grande;91298;43002;48296;112,3;32,7;7.027,60
2000;80017;Campo Limpo;191239;92343;98896;107,1;27,7;15.202,00
2000;80018;Cangaíba;137243;65648;71595;109,1;30,3;9.976,00
2000;80019;Capão Redondo;240353;116045;124308;107,1;27;17.427,20
2000;80020;Carrão;78269;36631;41638;113,7;35,5;10.053,30
2000;80021;Casa Verde;83753;38892;44861;115,3;33,8;11.704,00
2000;80022;Cidade Ademar;243297;116422;126875;109;28,5;19.888,30
2000;80023;Cidade Dutra;191203;91929;99274;108;28,5;6.896,80
2000;80024;Cidade Líder;116666;56856;59810;105,2;28,9;11.049,80
2000;80025;Cidade Tiradentes;189500;90971;98529;108,3;25,4;12.707,20
2000;80026;Consolação;54632;23674;30958;130,8;39,8;14.426,40
2000;80027;Cursino;102182;47441;54741;115,4;34,4;8.472,80
2000;80028;Ermelino Matarazzo;106748;51870;54878;105,8;28,8;11.337,10
2000;80029;Freguesia do Ó;145018;68951;76067;110,3;32,2;13.137,80
2000;80030;Grajaú;331837;162387;169450;104,3;25,7;3.584,40
2000;80031;Guaianases;98391;48112;50279;104,5;26,7;11.066,00
2000;80032;Moema;71342;31750;39592;124,7;38,1;7.835,00
2000;80033;Iguatemi;101303;50168;51135;101,9;26,1;5.174,90
2000;80034;Ipiranga;98906;45689;53217;116,5;35,1;8.969,90
2000;80035;Itaim Bibi;81680;35998;45682;126,9;38,7;8.143,00
2000;80036;Itaim Paulista;212253;103398;108855;105,3;26,5;17.373,40
2000;80037;Itaquera;201291;97194;104097;107,1;28,3;13.694,00
2000;80038;Jabaquara;214137;100667;113470;112,7;31,6;15.256,90
2000;80039;Jaçanã;91779;43766;48013;109,7;31;12.279,90
2000;80040;Jaguara;25753;12334;13419;108,8;34,1;5.681,10
2000;80041;Jaguaré;42503;20387;22116;108,5;30,8;6.485,80
2000;80042;Jaraguá;145327;70870;74457;105,1;27,4;5.189,50
2000;80043;Jardim Ângela;245125;120219;124906;103,9;25,5;6.672,20
2000;80044;Jardim Helena;138924;68125;70799;103,9;26,6;15.210,40
2000;80045;Jardim Paulista;83844;35590;48254;135,6;40,6;13.410,20
2000;80046;Jardim São Luís;238858;115652;123206;106,5;27,7;9.218,30
2000;80047;José Bonifácio;107069;50769;56300;110,9;29,5;7.426,40
2000;80048;Lapa;60281;27201;33080;121,6;39;5.866,20
2000;80049;Liberdade;62006;27894;34112;122,3;36;17.054,80
2000;80050;Limão;82133;38714;43419;112,2;32,2;12.812,80
2000;80051;Mandaqui;103140;48746;54394;111,6;32,6;7.812,00
2000;80052;Marsilac;8380;4268;4112;96,3;26,3;40,4
2000;80053;Moóca;63367;28847;34520;119,7;38,5;7.990,70
2000;80054;Morumbi;34640;16053;18587;115,8;33,5;3.022,10
2000;80055;Parelheiros;102274;50949;51325;100,7;25,2;675,3
2000;80056;Pari;14877;6910;7967;115,3;36,6;5.469,70
2000;80057;Parque do Carmo;63985;31362;32623;104;27,9;4.088,30
2000;80058;Pedreira;126989;61809;65180;105,5;26,5;6.870,30
2000;80059;Penha;124392;58180;66212;113,8;34,8;10.882,20
2000;80060;Perdizes;102521;46059;56462;122,6;37,7;16.232,10
2000;80061;Perus;70428;34766;35662;102,6;26,9;2.979,60
2000;80062;Pinheiros;63138;27486;35652;129,7;39,5;7.634,40
2000;80063;Pirituba;161736;77232;84504;109,4;31,3;9.484,70
2000;80064;Ponte Rasa;98172;46878;51294;109,4;31,4;14.976,70
2000;80065;Raposo Tavares;91141;43850;47291;107,8;28,1;7.492,50
2000;80066;República;47810;23412;24398;104,2;36,1;20.574,40
2000;80067;Rio Pequeno;111690;53529;58161;108,7;30,1;11.448,50
2000;80068;Sacomã;228159;109441;118718;108,5;30,7;15.615,80
2000;80069;Santa Cecília;71314;31817;39497;124,1;37,4;19.264,30
2000;80070;Santana;124789;61547;63242;102,8;36,2;9.524,30
2000;80071;Santo Amaro;60673;27912;32761;117,4;38,6;3.806,90
2000;80072;São Lucas;139469;66671;72798;109,2;33;14.429,70
2000;80073;São Mateus;154839;75485;79354;105,1;29,2;12.209,10
2000;80074;São Miguel;97441;46729;50712;108,5;29,9;11.253,30
2000;80075;São Rafael;124731;61638;63093;102,4;26,8;9.554,70
2000;80076;Sapopemba;282054;136962;145092;105,9;28,7;20.711,60
2000;80077;Saúde;118175;53114;65061;122,5;37,5;12.793,20
2000;80078;Sé;20174;9579;10595;110,6;32,8;9.251,30
2000;80079;Socorro;39139;18284;20855;114,1;34,9;3.192,00
2000;80080;Tatuapé;79418;36539;42879;117,4;37,6;9.355,80
2000;80081;Tremembé;163428;79231;84197;106,3;29,4;2.831,90
2000;80082;Tucuruvi;99495;45803;53692;117,2;35,9;10.530,80
2000;80083;Vila Andrade;73293;35789;37504;104,8;26,7;7.113,80
2000;80084;Vila Curuçá;146289;71267;75022;105,3;27,2;15.395,70
2000;80085;Vila Formosa;93904;44409;49495;111,5;34,2;12.523,30
2000;80086;Vila Guilherme;50090;23306;26784;114,9;35,5;6.926,80
2000;80087;Vila Jacuí;141544;68911;72633;105,4;26,9;17.237,70
2000;80088;Vila Leopoldina;26874;12610;14264;113,1;34,7;3.845,30
2000;80089;Vila Maria;113944;54196;59748;110,2;31,3;9.664,30
2000;80090;Vila Mariana;123788;54563;69225;126,9;38,2;14.523,40
2000;80091;Vila Matilde;103007;48518;54489;112,3;33,4;11.575,70
2000;80092;Vila Medeiros;140725;66536;74189;111,5;32,3;17.867,70
2000;80093;Vila Prudente;102227;48172;54055;112,2;34,4;10.670,60
2000;80094;Vila Sônia;87354;41905;45449;108,5;31,6;8.677,50
2000;80095;São Domingos;82724;39932;42792;107,2;31,2;8.343,70
2000;80096;Lajeado;157316;77179;80137;103,8;25,8;17.670,80
2001;80001;Água Rasa;86000;40001;45999;115;36,9;12.053,50
2001;80002;Alto de Pinheiros;44408;19869;24539;123,5;38,4;5.923,90
2001;80003;Anhanguera;40747;20300;20447;100,7;25,8;1.218,80
2001;80004;Aricanduva;94516;45151;49365;109,3;32,4;13.803,60
2001;80005;Artur Alvim;111052;52476;58576;111,6;32,2;17.044,10
2001;80006;Barra Funda;13136;5802;7334;126,4;37,4;2.232,20
2001;80007;Bela Vista;63979;28871;35108;121,6;36,8;23.174,50
2001;80008;Belém;40107;18371;21736;118,3;36,6;6.551,80
2001;80009;Bom Retiro;27345;13017;14328;110,1;34,2;6.412,50
2001;80010;Brás;25636;12588;13048;103,7;32,5;7.046,80
2001;80011;Brasilândia;249560;120651;128909;106,8;27,4;11.862,90
2001;80012;Butantã;52969;24624;28345;115,1;36,7;4.110,20
2001;80013;Cachoeirinha;147430;71028;76402;107,6;28,6;10.874,40
2001;80014;Cambuci;29554;13441;16113;119,9;37,1;7.514,90
2001;80015;Campo Belo;66750;30584;36166;118,3;37;7.548,60
2001;80016;Campo Grande;92333;43446;48887;112,5;33,1;7.107,30
2001;80017;Campo Limpo;193703;93472;100231;107,2;28,1;15.397,90
2001;80018;Cangaíba;137470;65698;71772;109,2;30,6;9.992,50
2001;80019;Capão Redondo;243445;117421;126024;107,3;27,4;17.651,40
2001;80020;Carrão;78855;36876;41979;113,8;35,8;10.128,60
2001;80021;Casa Verde;84045;39004;45041;115,5;34,1;11.744,80
2001;80022;Cidade Ademar;246388;117824;128564;109,1;28,8;20.141,00
2001;80023;Cidade Dutra;192230;92362;99868;108,1;28,9;6.933,90
2001;80024;Cidade Líder;117821;57367;60454;105,4;29,2;11.159,20
2001;80025;Cidade Tiradentes;191880;92034;99846;108,5;25,8;12.866,80
2001;80026;Consolação;54946;23908;31038;129,8;39,9;14.509,30
2001;80027;Cursino;102963;47818;55145;115,3;34,7;8.537,50
2001;80028;Ermelino Matarazzo;107609;52234;55375;106;29,2;11.428,60
2001;80029;Freguesia do Ó;145110;68919;76191;110,6;32,6;13.146,20
2001;80030;Grajaú;335622;164145;171477;104,5;26;3.625,30
2001;80031;Guaianases;99299;48503;50796;104,7;27;11.168,10
2001;80032;Moema;72545;32344;40201;124,3;38,3;7.967,10
2001;80033;Iguatemi;104037;51485;52552;102,1;26,4;5.314,50
2001;80034;Ipiranga;99776;46104;53672;116,4;35,3;9.048,80
2001;80035;Itaim Bibi;82746;36570;46176;126,3;38,9;8.249,30
2001;80036;Itaim Paulista;214060;104136;109924;105,6;26,9;17.521,30
2001;80037;Itaquera;201984;97415;104569;107,3;28,7;13.741,20
2001;80038;Jabaquara;215451;101235;114216;112,8;32;15.350,60
2001;80039;Jaçanã;92288;43978;48310;109,9;31,2;12.348,00
2001;80040;Jaguara;25696;12295;13401;109;34,4;5.668,50
2001;80041;Jaguaré;43304;20767;22537;108,5;31,1;6.608,00
2001;80042;Jaraguá;149437;72791;76646;105,3;27,7;5.336,20
2001;80043;Jardim Ângela;250604;122819;127785;104;25,8;6.821,30
2001;80044;Jardim Helena;138958;68091;70867;104,1;27;15.214,10
2001;80045;Jardim Paulista;84307;35939;48368;134,6;40,7;13.484,20
2001;80046;Jardim São Luís;242312;117248;125064;106,7;28;9.351,60
2001;80047;José Bonifácio;108868;51598;57270;111;29,7;7.551,20
2001;80048;Lapa;60812;27470;33342;121,4;39,3;5.917,90
2001;80049;Liberdade;62806;28314;34492;121,8;36,2;17.274,80
2001;80050;Limão;82039;38614;43425;112,5;32,5;12.798,20
2001;80051;Mandaqui;103826;49009;54817;111,9;32,9;7.864,00
2001;80052;Marsilac;8371;4267;4104;96,2;26,8;40,3
2001;80053;Moóca;64592;29459;35133;119,3;38,6;8.145,10
2001;80054;Morumbi;36001;16688;19313;115,7;33,8;3.140,80
2001;80055;Parelheiros;105420;52456;52964;101;25,6;696
2001;80056;Pari;15083;7016;8067;115;36,5;5.545,40
2001;80057;Parque do Carmo;64544;31598;32946;104,3;28,3;4.124,00
2001;80058;Pedreira;128880;62703;66177;105,5;26,9;6.972,60
2001;80059;Penha;124863;58352;66511;114;35,1;10.923,40
2001;80060;Perdizes;103431;46506;56925;122,4;38;16.376,20
2001;80061;Perus;71557;35273;36284;102,9;27,3;3.027,40
2001;80062;Pinheiros;63371;27654;35717;129,2;39,7;7.662,60
2001;80063;Pirituba;162572;77588;84984;109,5;31,6;9.533,70
2001;80064;Ponte Rasa;97952;46719;51233;109,7;31,8;14.943,10
2001;80065;Raposo Tavares;92116;44238;47878;108,2;28,4;7.572,60
2001;80066;República;48746;23943;24803;103,6;36,2;20.977,20
2001;80067;Rio Pequeno;112589;53934;58655;108,8;30,5;11.540,60
2001;80068;Sacomã;230458;110451;120007;108,7;31;15.773,10
2001;80069;Santa Cecília;72630;32513;40117;123,4;37,6;19.619,80
2001;80070;Santana;124282;60671;63611;104,8;36,5;9.485,60
2001;80071;Santo Amaro;61823;28456;33367;117,3;38,8;3.879,00
2001;80072;São Lucas;139900;66827;73073;109,3;33,3;14.474,30
