;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
METRÔ DE SÃO PAULO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFORMAÇÕES SOBRE A DEMANDA - 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entrada de Passageiros por Estação - Diária (em milhares);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENTRADAS POR ESTAÇÃO - LINHA 1-AZUL ¹ - JAN/2026 (MIL);;;;;;;;;;;;;;;;;;;;;;;;;;ENTRADAS POR ESTAÇÃO - LINHA 2-VERDE ² - JAN/2026 (MIL);;;;;;;;;;;;;;;;;ENTRADAS POR ESTAÇÃO - LINHA 3-VERMELHA ³ - JAN/2026 (MIL);;;;;;;;;;;;;;;;;;;;;ENTRADAS POR ESTAÇÃO - LINHA 15-PRATA - JAN/2026 (MIL);;;;;;;;;;;;
DIA;JAB;CON;JUD;SAU;ARV;SCZ;VMN;ANR;PSO;VGO;JQM;LIB;PSE;BTO;LUZ;TRD;PPQ;TTE;CDU;SAN;JPA;PIG;TUC;TOTAL;;DIA;VPT;TTI;SAC;AIP;IMG;CKB;ANR;PSO;BGD;TRI;CNS;CLI;SUM;VMD;TOTAL;;DIA;ITQ;ART;PCA;VPA;VTD;PEN;CAR;TAT;BEL;BRE;BAS;PDS;PSE;GBU;REP;CEC;DEO;BFU;TOTAL;;DIA; VPM ; ORT ; SLU ; CAD ; VTL ; VUN ; JPL ; SAP ; FJT ; MAT ;IGT;TOTAL
1;32,9;3,8;2,4;3,9;1,9;16,3;2,2;2,8;3,4;4,2;3,7;3,7;2,3;3,1;8,8;1,8;3,5;17,6;1,5;8,0;1,3;1,7;9,8;140,5;;1;2,5;11,6;6,7;2,3;1,7;11,9;1,1;1,6;6,3;7,9;15,8;2,9;1,0;2,9;76,3;;1;38,7;10,1;3,7;3,5;4,3;4,5;5,3;26,4;6,0;4,6;12,0;4,9;3,4;6,9;26,6;4,7;4,1;34,2;204,0;;1;1,3;1,2;0,9;0,6;1,0;1,1;1,0;1,8;0,7;3,6;2,0;15,2
2;51,1;10,2;6,3;11,9;6,2;43,1;6,0;9,2;9,1;10,8;8,5;19,6;7,3;27,1;31,1;4,6;7,9;33,8;4,2;19,5;3,8;4,3;24,2;359,6;;2;6,2;28,3;16,4;6,6;6,4;31,8;3,0;2,9;20,0;18,8;36,2;7,0;3,2;7,5;194,4;;2;88,6;24,4;9,0;8,6;10,5;11,2;14,9;59,3;16,1;11,3;34,6;7,9;9,3;21,0;55,6;10,3;11,4;70,7;474,6;;2;3,7;2,3;2,0;1,6;2,3;2,5;2,2;4,3;1,9;8,3;5,7;36,9
3;47,7;8,5;5,4;10,6;5,3;37,7;5,2;7,7;7,8;8,4;7,3;26,0;6,2;23,3;24,9;4,5;6,9;37,6;3,5;17,3;3,4;3,9;21,6;330,5;;3;5,3;25,3;14,6;5,6;5,5;24,1;2,6;2,5;19,9;16,4;33,6;4,8;2,5;6,6;169,0;;3;83,8;21,5;8,0;7,5;9,5;10,2;13,4;57,0;13,1;11,7;32,9;7,2;7,9;16,5;50,6;9,2;8,1;66,5;434,4;;3;3,0;2,1;1,9;1,5;2,1;2,2;1,9;3,8;1,7;6,8;4,3;31,4
4;38,2;6,2;3,8;6,7;3,3;26,3;3,5;5,1;5,1;5,9;5,0;18,7;3,3;5,6;17,6;3,1;5,1;41,7;2,8;11,7;2,3;2,7;14,7;238,1;;4;3,9;17,8;10,1;3,8;3,6;17,1;2,1;2,4;14,1;15,5;22,7;3,8;1,8;4,5;122,9;;4;64,2;14,6;5,5;5,2;7,2;7,0;8,8;39,5;9,9;8,3;20,8;8,2;4,9;9,9;34,3;7,0;6,7;51,0;313,2;;4;2,1;1,5;1,2;0,8;1,4;1,4;1,2;2,5;1,1;4,5;2,7;20,3
5;61,1;22,8;11,7;19,9;11,0;71,9;11,3;14,0;14,8;19,6;18,3;18,6;12,6;46,5;88,9;8,6;15,2;47,5;8,4;36,8;8,3;9,6;44,8;622,3;;5;13,9;62,1;31,8;13,1;11,3;65,4;7,9;8,3;38,9;37,5;71,9;17,7;7,1;15,3;402,2;;5;73,0;42,5;17,4;16,1;20,6;20,9;30,6;64,2;28,8;21,1;59,6;12,0;18,1;40,8;96,5;17,8;18,9;114,3;713,2;;5;7,6;5,6;4,1;3,2;4,4;4,7;3,9;7,6;3,5;14,2;11,1;69,8
6;60,0;25,2;12,8;21,4;12,1;76,2;12,4;15,9;16,7;21,1;19,4;20,6;12,8;46,9;107,4;9,5;15,4;40,3;8,8;39,6;9,2;10,3;47,3;661,0;;6;15,3;67,1;34,2;14,4;12,9;71,3;8,9;9,4;45,6;41,2;81,3;18,8;7,9;17,3;445,7;;6;62,8;45,0;18,6;17,2;22,0;22,2;33,3;60,8;31,0;22,4;62,3;14,4;18,4;43,6;103,9;19,1;20,3;121,3;738,7;;6;8,3;6,0;4,3;3,4;4,7;5,0;4,1;8,1;3,2;15,0;11,6;73,7
7;59,5;25,4;12,7;21,8;12,3;77,5;12,9;16,3;16,7;16,9;19,3;21,2;13,9;48,5;103,1;10,0;16,2;39,6;9,1;41,2;9,3;10,5;48,1;661,9;;7;14,7;67,0;34,3;14,9;13,0;72,9;9,2;9,4;45,5;40,9;82,8;18,9;7,9;17,5;448,8;;7;60,8;45,0;18,5;17,5;22,4;22,7;33,8;63,1;32,8;23,4;64,6;13,5;20,1;45,5;105,4;19,4;21,0;122,6;752,0;;7;8,6;6,2;4,4;3,3;4,8;5,0;4,1;8,2;3,5;14,9;11,7;74,7
8;60,1;25,2;12,9;24,2;12,5;78,9;13,0;16,5;16,9;20,9;19,2;21,1;14,2;49,5;96,3;10,0;15,3;37,9;9,0;40,8;9,3;10,8;48,3;662,6;;8;15,5;66,8;34,8;14,7;13,1;73,4;9,3;9,5;44,8;40,8;82,7;19,2;8,0;17,9;450,3;;8;60,2;45,6;19,0;17,6;22,5;22,6;34,4;64,3;32,3;22,5;63,9;13,2;20,4;45,1;105,9;19,3;21,1;123,3;753,4;;8;8,6;6,2;4,5;3,3;4,7;5,1;4,1;8,3;3,5;15,3;11,8;75,4
9;60,5;21,9;12,5;22,1;11,7;78,4;13,0;16,1;16,0;20,8;18,7;22,9;14,0;48,5;96,7;9,9;15,6;38,4;8,7;40,9;9,0;10,1;48,3;654,5;;9;14,8;65,9;33,7;14,4;12,4;69,7;9,1;9,0;42,5;37,1;78,5;18,4;7,4;16,9;429,9;;9;61,2;46,1;18,9;17,5;22,4;22,7;33,6;65,3;32,3;23,1;64,3;14,0;20,2;44,1;104,6;19,5;21,1;123,8;754,6;;9;8,6;6,0;4,5;3,2;4,8;5,1;4,2;8,4;3,6;16,0;11,6;75,9
10;42,7;11,8;7,3;14,7;8,0;50,4;7,8;11,4;10,6;11,4;10,9;29,5;8,3;34,6;65,1;6,6;9,5;33,0;5,3;25,1;5,2;5,9;29,7;444,8;;10;8,2;37,1;20,4;8,3;7,2;34,7;3,8;3,3;21,9;18,3;43,8;6,0;3,7;9,8;226,6;;10;51,4;28,9;11,7;10,8;13,7;14,0;20,3;56,6;19,7;20,0;42,0;9,2;10,6;21,6;63,7;12,6;13,6;82,4;502,7;;10;4,6;3,1;2,7;1,9;2,9;3,2;2,7;5,2;2,3;9,2;5,9;43,7
