codigo_distrito;cod_ibge;distrito;regioes;codigo_subprefeitura;subprefeituras;area_ha;area_km
80097;97;Sem especificação de distrito;Sem especificação de distrito;;Sem especificação de distrito;;
80001;1;Água Rasa;Leste;25;Mooca;717,72;7,18
80002;2;Alto de Pinheiros;Oeste;11;Pinheiros;746,14;7,46
80003;3;Anhanguera;Norte;1;Perus;3324,5;33,24
80004;4;Aricanduva;Leste;26;Aricanduva/Formosa/Carrão;695,98;6,96
80005;5;Artur Alvim;Leste;21;Penha;650,58;6,51
80006;6;Barra Funda;Oeste;8;Lapa;585,36;5,85
80007;7;Bela Vista;Centro;9;Sé;271,8;2,72
80008;8;Belém;Leste;25;Mooca;604,68;6,05
80009;9;Bom Retiro;Centro;9;Sé;420,59;4,21
80010;10;Brás;Leste;25;Mooca;362,97;3,63
80011;11;Brasilândia;Norte;3;Freguesia/Brasilândia;2105,68;21,06
80012;12;Butantã;Oeste;10;Butantã;1295,25;12,95
80013;13;Cachoeirinha;Norte;4;Casa Verde/Cachoeirinha;1357,17;13,57
80014;14;Cambuci;Centro;9;Sé;392,47;3,92
80015;15;Campo Belo;Sul;14;Santo Amaro;877,24;8,77
80016;16;Campo Grande;Sul;14;Santo Amaro;1293,67;12,94
80017;17;Campo Limpo;Sul;17;Campo Limpo;1259,48;12,59
80018;18;Cangaíba;Leste;21;Penha;1374,64;13,75
80019;19;Capão Redondo;Sul;17;Campo Limpo;1377,21;13,77
80020;20;Carrão;Leste;26;Aricanduva/Formosa/Carrão;790,27;7,9
80021;21;Casa Verde;Norte;4;Casa Verde/Cachoeirinha;720,37;7,2
80022;22;Cidade Ademar;Sul;16;Cidade Ademar;1232,54;12,33
80023;23;Cidade Dutra;Sul;19;Capela do Socorro;2796,59;27,97
80024;24;Cidade Lider;Leste;27;Itaquera;1035,61;10,36
80025;25;Cidade Tiradentes;Leste;31;Cidade Tiradentes;1493,9;14,94
80026;26;Consolação;Centro;9;Sé;381,54;3,82
80027;27;Cursino;Sul;13;Ipiranga;1194,39;11,94
80028;28;Ermelino Matarazzo;Leste;22;Ermelino Matarazzo;934,92;9,35
80029;29;Freguesia do Ó;Norte;3;Freguesia/Brasilândia;1092,34;10,92
80030;30;Grajaú;Sul;19;Capela do Socorro;9291,27;92,91
80031;31;Guaianases;Leste;28;Guaianases;894,87;8,95
80033;33;Iguatemi;Leste;30;São Mateus;1943,46;19,43
80034;34;Ipiranga;Sul;13;Ipiranga;1100,46;11
80035;35;Itaim Bibi;Oeste;11;Pinheiros;1002,63;10,03
80036;36;Itaim Paulista;Leste;24;Itaim Paulista;1214,45;12,14
80037;37;Itaquera;Leste;27;Itaquera;1472,73;14,73
80038;38;Jabaquara;Sul;15;Jabaquara;1400,98;14,01
80039;39;Jaçanã;Norte;6;Jaçanã/Tremembé;746,52;7,47
80040;40;Jaguara;Oeste;8;Lapa;457,48;4,57
