cod_distr;grupo_ipvs;n_pessoas;n_domicilios;n_setor
355030801;Baixíssima Vulnerabilidade;26246;10759;60
355030801;Muito Baixa Vulnerabilidade;51694;21347;101
355030801;Baixa Vulnerabilidade;7543;3086;13
355030801;Média Vulnerabilidade;0;0;0
355030801;Alta Vulnerabilidade;0;0;0
355030801;Muito Alta Vulnerabilidade;0;0;0
355030802;Baixíssima Vulnerabilidade;33878;14250;121
355030802;Muito Baixa Vulnerabilidade;2247;1048;9
355030802;Baixa Vulnerabilidade;886;480;4
355030802;Média Vulnerabilidade;0;0;0
355030802;Alta Vulnerabilidade;0;0;0
355030802;Muito Alta Vulnerabilidade;0;0;0
355030803;Baixíssima Vulnerabilidade;1132;356;2
355030803;Muito Baixa Vulnerabilidade;29804;10399;63
355030803;Baixa Vulnerabilidade;15622;5592;28
355030803;Média Vulnerabilidade;3495;1248;10
355030803;Alta Vulnerabilidade;15387;5375;28
355030803;Muito Alta Vulnerabilidade;9244;3197;22
355030804;Baixíssima Vulnerabilidade;3157;1181;6
355030804;Muito Baixa Vulnerabilidade;63222;23099;114
355030804;Baixa Vulnerabilidade;13635;4866;24
355030804;Média Vulnerabilidade;2944;1007;6
355030804;Alta Vulnerabilidade;3219;1053;6
355030804;Muito Alta Vulnerabilidade;2948;935;5
355030805;Baixíssima Vulnerabilidade;323;141;1
355030805;Muito Baixa Vulnerabilidade;72716;27595;152
355030805;Baixa Vulnerabilidade;11881;4562;26
355030805;Média Vulnerabilidade;2696;934;5
355030805;Alta Vulnerabilidade;1264;419;4
355030805;Muito Alta Vulnerabilidade;6550;2157;13
355030806;Baixíssima Vulnerabilidade;25659;10784;83
355030806;Muito Baixa Vulnerabilidade;2364;1119;10
355030806;Baixa Vulnerabilidade;2968;1873;13
355030806;Média Vulnerabilidade;0;0;0
355030806;Alta Vulnerabilidade;1055;379;2
355030806;Muito Alta Vulnerabilidade;1111;370;2
355030807;Baixíssima Vulnerabilidade;29966;15613;129
355030807;Muito Baixa Vulnerabilidade;11872;6111;50
355030807;Baixa Vulnerabilidade;17316;9315;69
355030807;Média Vulnerabilidade;0;0;0
355030807;Alta Vulnerabilidade;0;0;0
355030807;Muito Alta Vulnerabilidade;0;0;0
355030808;Baixíssima Vulnerabilidade;11667;4566;24
355030808;Muito Baixa Vulnerabilidade;24696;9735;50
355030808;Baixa Vulnerabilidade;13413;5225;25
355030808;Média Vulnerabilidade;753;321;1
355030808;Alta Vulnerabilidade;1001;391;2
355030808;Muito Alta Vulnerabilidade;1522;539;2
355030809;Baixíssima Vulnerabilidade;1776;699;6
355030809;Muito Baixa Vulnerabilidade;17010;6403;49
355030809;Baixa Vulnerabilidade;7428;2888;17
355030809;Média Vulnerabilidade;399;156;1
355030809;Alta Vulnerabilidade;3385;1276;9
355030809;Muito Alta Vulnerabilidade;1861;647;4
355030810;Baixíssima Vulnerabilidade;3145;1500;7
355030810;Muito Baixa Vulnerabilidade;12172;5100;52
355030810;Baixa Vulnerabilidade;15832;7025;43
355030810;Média Vulnerabilidade;1014;399;3
355030810;Alta Vulnerabilidade;4205;1578;13
355030810;Muito Alta Vulnerabilidade;845;328;2
355030811;Baixíssima Vulnerabilidade;511;183;1
355030811;Muito Baixa Vulnerabilidade;63972;23383;122
355030811;Baixa Vulnerabilidade;30119;10902;66
355030811;Média Vulnerabilidade;21606;7922;48
355030811;Alta Vulnerabilidade;45709;16611;92
355030811;Muito Alta Vulnerabilidade;80384;27386;171
355030812;Baixíssima Vulnerabilidade;21097;8720;65
355030812;Muito Baixa Vulnerabilidade;18862;7785;57
355030812;Baixa Vulnerabilidade;9994;4630;27
355030812;Média Vulnerabilidade;0;0;0
355030812;Alta Vulnerabilidade;0;0;0
355030812;Muito Alta Vulnerabilidade;583;185;1
355030813;Baixíssima Vulnerabilidade;1139;482;4
355030813;Muito Baixa Vulnerabilidade;72020;27221;134
355030813;Baixa Vulnerabilidade;19659;7236;42
355030813;Média Vulnerabilidade;8894;3263;17
355030813;Alta Vulnerabilidade;11292;3935;23
355030813;Muito Alta Vulnerabilidade;29363;9921;59
355030814;Baixíssima Vulnerabilidade;11732;4877;37
355030814;Muito Baixa Vulnerabilidade;18281;7705;57
355030814;Baixa Vulnerabilidade;14201;6278;35
355030814;Média Vulnerabilidade;0;0;0
355030814;Alta Vulnerabilidade;71;24;1
355030814;Muito Alta Vulnerabilidade;0;0;0
355030815;Baixíssima Vulnerabilidade;49285;22017;178
355030815;Muito Baixa Vulnerabilidade;14204;5897;45
355030815;Baixa Vulnerabilidade;1234;495;4
355030815;Média Vulnerabilidade;0;0;0
355030815;Alta Vulnerabilidade;1121;376;2
355030815;Muito Alta Vulnerabilidade;4184;1538;13
355030816;Baixíssima Vulnerabilidade;50655;19187;107
355030816;Muito Baixa Vulnerabilidade;53614;20803;122
355030816;Baixa Vulnerabilidade;7102;2959;16
355030816;Média Vulnerabilidade;0;0;0
355030816;Alta Vulnerabilidade;267;93;1
355030816;Muito Alta Vulnerabilidade;3758;1270;9
355030817;Baixíssima Vulnerabilidade;7663;2853;19
355030817;Muito Baixa Vulnerabilidade;97130;36379;197
355030817;Baixa Vulnerabilidade;44208;16662;89
355030817;Média Vulnerabilidade;10785;4198;24
355030817;Alta Vulnerabilidade;24667;9205;48
355030817;Muito Alta Vulnerabilidade;49840;17526;107
355030818;Baixíssima Vulnerabilidade;1051;357;2
355030818;Muito Baixa Vulnerabilidade;95726;34969;185
355030818;Baixa Vulnerabilidade;16690;6390;26
355030818;Média Vulnerabilidade;1986;725;6
355030818;Alta Vulnerabilidade;1722;647;4
355030818;Muito Alta Vulnerabilidade;23823;8445;44
355030819;Baixíssima Vulnerabilidade;1358;469;3
355030819;Muito Baixa Vulnerabilidade;76721;28401;150
355030819;Baixa Vulnerabilidade;42367;15890;76
355030819;Média Vulnerabilidade;30144;11102;62
355030819;Alta Vulnerabilidade;53466;19619;101
355030819;Muito Alta Vulnerabilidade;65048;23008;132
355030820;Baixíssima Vulnerabilidade;18450;6677;35
355030820;Muito Baixa Vulnerabilidade;60500;23520;112
355030820;Baixa Vulnerabilidade;2400;930;4
355030820;Média Vulnerabilidade;0;0;0
355030820;Alta Vulnerabilidade;510;185;1
355030820;Muito Alta Vulnerabilidade;1402;469;4
355030821;Baixíssima Vulnerabilidade;12336;4863;26
355030821;Muito Baixa Vulnerabilidade;57798;21481;110
355030821;Baixa Vulnerabilidade;9297;3492;17
355030821;Média Vulnerabilidade;0;0;0
355030821;Alta Vulnerabilidade;870;282;1
355030821;Muito Alta Vulnerabilidade;0;0;0
355030822;Baixíssima Vulnerabilidade;9046;3656;22
355030822;Muito Baixa Vulnerabilidade;77665;29157;166
355030822;Baixa Vulnerabilidade;30107;11352;58
355030822;Média Vulnerabilidade;26431;9779;56
355030822;Alta Vulnerabilidade;46826;17024;97
355030822;Muito Alta Vulnerabilidade;58180;20155;134
355030823;Baixíssima Vulnerabilidade;2037;683;3
355030823;Muito Baixa Vulnerabilidade;105242;38047;205
355030823;Baixa Vulnerabilidade;18198;6693;35
355030823;Média Vulnerabilidade;10215;3716;18
355030823;Alta Vulnerabilidade;5719;1996;11
355030823;Muito Alta Vulnerabilidade;40362;13674;88
355030824;Baixíssima Vulnerabilidade;608;192;1
355030824;Muito Baixa Vulnerabilidade;94336;33599;150
355030824;Baixa Vulnerabilidade;14650;5295;22
355030824;Média Vulnerabilidade;3739;1294;5
355030824;Alta Vulnerabilidade;5870;1995;8
355030824;Muito Alta Vulnerabilidade;15454;5125;31
355030825;Baixíssima Vulnerabilidade;0;0;0
355030825;Muito Baixa Vulnerabilidade;40403;14538;83
355030825;Baixa Vulnerabilidade;31097;11438;62
355030825;Média Vulnerabilidade;20205;6944;42
355030825;Alta Vulnerabilidade;57019;19660;104
355030825;Muito Alta Vulnerabilidade;43164;14200;100
355030826;Baixíssima Vulnerabilidade;41412;20637;173
355030826;Muito Baixa Vulnerabilidade;2723;1450;13
355030826;Baixa Vulnerabilidade;8712;5267;43
355030826;Média Vulnerabilidade;0;0;0
355030826;Alta Vulnerabilidade;0;0;0
355030826;Muito Alta Vulnerabilidade;0;0;0
355030827;Baixíssima Vulnerabilidade;29958;11801;82
355030827;Muito Baixa Vulnerabilidade;49659;19223;133
355030827;Baixa Vulnerabilidade;14449;5267;36
355030827;Média Vulnerabilidade;427;148;1
355030827;Alta Vulnerabilidade;1637;559;3
355030827;Muito Alta Vulnerabilidade;6337;2162;13
355030828;Baixíssima Vulnerabilidade;452;160;1
355030828;Muito Baixa Vulnerabilidade;58244;20991;117
355030828;Baixa Vulnerabilidade;17228;6368;31
355030828;Média Vulnerabilidade;8879;3189;16
355030828;Alta Vulnerabilidade;7680;2739;14
355030828;Muito Alta Vulnerabilidade;19270;6707;43
355030829;Baixíssima Vulnerabilidade;14531;5814;36
355030829;Muito Baixa Vulnerabilidade;97175;36247;191
355030829;Baixa Vulnerabilidade;16347;6176;32
355030829;Média Vulnerabilidade;0;0;0
355030829;Alta Vulnerabilidade;3645;1302;6
355030829;Muito Alta Vulnerabilidade;4958;1691;7
355030830;Baixíssima Vulnerabilidade;0;0;0
355030830;Muito Baixa Vulnerabilidade;63875;22704;141
355030830;Baixa Vulnerabilidade;30927;11033;66
355030830;Média Vulnerabilidade;52963;18311;131
355030830;Alta Vulnerabilidade;105157;36603;224
355030830;Muito Alta Vulnerabilidade;125076;42551;360
355030831;Baixíssima Vulnerabilidade;0;0;0
355030831;Muito Baixa Vulnerabilidade;38717;13783;75
355030831;Baixa Vulnerabilidade;18195;6664;34
355030831;Média Vulnerabilidade;15962;5515;35
355030831;Alta Vulnerabilidade;18276;6395;34
355030831;Muito Alta Vulnerabilidade;17034;5720;35
355030832;Baixíssima Vulnerabilidade;80298;36845;302
355030832;Muito Baixa Vulnerabilidade;1098;491;5
355030832;Baixa Vulnerabilidade;281;154;2
355030832;Média Vulnerabilidade;0;0;0
355030832;Alta Vulnerabilidade;0;0;0
355030832;Muito Alta Vulnerabilidade;0;0;0
355030833;Baixíssima Vulnerabilidade;616;212;1
355030833;Muito Baixa Vulnerabilidade;29763;10572;51
355030833;Baixa Vulnerabilidade;10254;3541;18
355030833;Média Vulnerabilidade;28615;9851;48
355030833;Alta Vulnerabilidade;44381;15092;73
355030833;Muito Alta Vulnerabilidade;34679;11586;73
355030834;Baixíssima Vulnerabilidade;42278;17748;111
355030834;Muito Baixa Vulnerabilidade;44523;17872;118
355030834;Baixa Vulnerabilidade;9425;3784;25
355030834;Média Vulnerabilidade;3556;1163;5
355030834;Alta Vulnerabilidade;840;334;2
355030834;Muito Alta Vulnerabilidade;13560;5092;23
355030835;Baixíssima Vulnerabilidade;94022;45240;340
355030835;Muito Baixa Vulnerabilidade;4822;1902;16
355030835;Baixa Vulnerabilidade;1312;540;5
355030835;Média Vulnerabilidade;0;0;0
